"","Div","Date","Day","Month","HomeTeam","AwayTeam","FTHG","FTAG","Result","Hpoints","Apoints","FTR","HTHG","HTAG","HTR","Referee","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","season","UtcDate","HTop6","ATop6","HLast5GamesGoals","ALast5GamesGoals","HLast3GamesGoalsVSOpposition","ALast3GamesGoalsVSOpposition","HLast5GamesGoalsConceded","ALast5GamesGoalsConceded","HForm","AForm","HomeGoalsPredictionTree","AwayGoalsPredictionTree","HomeGoalsPredictionReg","AwayGoalsPredictionReg"
"3244","E0","30/12/17","Wednesday","December","Liverpool","Leicester",2,1,"H",3,0,"H",0,1,"A","N Swarbrick",17,7,6,1,7,3,7,1,3,2,0,0,"17/18",1514620800,1,0,2,2.2,2.33333333333333,1,0.4,1.6,9,8,2.26,0.73,3,1
"3245","E0","30/12/17","Wednesday","December","Man United","Southampton",0,0,"D",1,1,"D",0,0,"D","C Pawson",15,8,3,3,12,13,10,7,2,4,0,0,"17/18",1514620800,1,0,1.8,0.8,0.666666666666667,0.666666666666667,1,2.4,10,1,2.26,0.73,2,1
"3248","E0","31/12/17","Thursday","December","Crystal Palace","Man City",0,0,"D",1,1,"D",0,0,"D","J Moss",10,15,1,4,14,11,7,8,5,4,0,0,"17/18",1514707200,0,1,2,2.2,1,1.33333333333333,1.8,0.4,8,15,1.06,1.81,1,2
"3249","E0","31/12/17","Thursday","December","West Brom","Arsenal",1,1,"D",1,1,"D",0,0,"D","M Dean",14,14,3,4,14,9,5,6,3,3,0,0,"17/18",1514707200,0,1,0.6,1.2,1.66666666666667,1,1.6,1.2,3,8,1.06,1.81,1,2
"3251","E0","01/01/18","Thursday","January","Burnley","Liverpool",1,2,"A",0,3,"A",0,0,"D","R East",13,19,4,5,4,12,3,9,0,0,0,0,"17/18",1514793600,0,1,0.8,3.8,0.666666666666667,1.66666666666667,0.8,1,9,13,1.06,1.81,1,2
"3252","E0","01/01/18","Thursday","January","Everton","Man United",0,2,"A",0,3,"A",0,0,"D","A Marriner",12,21,0,6,11,10,6,6,2,0,0,0,"17/18",1514793600,0,1,2.4,2.2,1.33333333333333,1.33333333333333,0.6,1.4,13,10,1.06,1.81,1,2
"3254","E0","01/01/18","Thursday","January","Stoke","Newcastle",0,1,"A",0,3,"A",0,0,"D","C Kavanagh",11,14,4,6,10,11,10,5,3,1,0,0,"17/18",1514793600,0,0,1.4,1.4,1,0,2,2.4,7,4,1.48,1.09,1,1
"3256","E0","02/01/18","Friday","January","Southampton","Crystal Palace",1,2,"A",0,3,"A",1,0,"H","S Attwell",10,11,3,4,8,11,4,7,0,1,0,0,"17/18",1514880000,0,0,1.4,0.8,2.66666666666667,0.666666666666667,1.6,0.4,5,6,1.48,1.09,1,1
"3257","E0","02/01/18","Friday","January","Swansea","Tottenham",0,2,"A",0,3,"A",0,1,"A","R Madley",8,12,1,5,12,9,6,5,2,2,0,0,"17/18",1514880000,0,1,0.4,1.2,1.33333333333333,2.33333333333333,1.2,1.8,5,4,1.06,1.81,1,2
"3258","E0","02/01/18","Friday","January","West Ham","West Brom",2,1,"H",3,0,"H",0,1,"A","M Jones",13,10,5,3,12,12,3,4,3,2,0,0,"17/18",1514880000,0,0,1,0.4,1.33333333333333,1.33333333333333,1.6,1.2,5,2,1.48,1.09,1,1
"3259","E0","03/01/18","Saturday","January","Arsenal","Chelsea",2,2,"D",1,1,"D",0,0,"D","A Taylor",14,19,6,6,11,11,10,8,3,2,0,0,"17/18",1514966400,1,1,2.4,1.6,1,0.333333333333333,1.2,0.6,10,8,1.7,1.18,2,1
"3260","E0","04/01/18","Sunday","January","Tottenham","West Ham",1,1,"D",1,1,"D",0,0,"D","M Dean",31,3,8,1,10,6,7,1,0,2,0,0,"17/18",1515052800,1,0,2.8,1.4,3,1.66666666666667,0.8,2.2,13,4,2.26,0.73,3,1
"3261","E0","13/01/18","Friday","January","Chelsea","Leicester",0,0,"D",1,1,"D",0,0,"D","M Jones",17,14,7,1,14,13,6,3,2,2,0,1,"17/18",1515830400,1,0,2.4,2,2,0.333333333333333,0.2,1.6,15,7,2.26,0.73,2,1
"3264","E0","13/01/18","Friday","January","Newcastle","Swansea",1,1,"D",1,1,"D",0,0,"D","G Scott",12,8,4,5,11,10,4,5,0,3,0,0,"17/18",1515830400,0,0,0.4,0.8,2,1.66666666666667,1.6,2.4,1,3,1.48,1.09,1,1
"3265","E0","13/01/18","Friday","January","Tottenham","Everton",4,0,"H",3,0,"H",1,0,"H","C Pawson",20,7,10,0,11,15,3,3,0,2,0,0,"17/18",1515830400,1,0,2.8,0.8,1.66666666666667,1,1,1.4,11,5,2.26,0.73,3,1
"3269","E0","14/01/18","Saturday","January","Liverpool","Man City",4,3,"H",3,0,"H",1,1,"D","A Marriner",16,11,7,4,10,7,5,6,2,3,0,0,"17/18",1515916800,1,1,1.8,1.8,2,0.333333333333333,0.6,0.4,9,13,1.7,1.18,2,1
"3270","E0","15/01/18","Sunday","January","Man United","Stoke",3,0,"H",3,0,"H",2,0,"H","A Taylor",20,11,9,5,14,10,6,1,2,1,0,0,"17/18",1516003200,1,0,1,0.6,2,0.666666666666667,0.8,2.8,8,1,2.26,0.73,2,1
"3271","E0","20/01/18","Saturday","January","Arsenal","Crystal Palace",4,1,"H",3,0,"H",4,0,"H","C Kavanagh",16,9,10,5,6,8,5,10,0,0,0,0,"17/18",1516435200,1,0,2.4,1.2,1.66666666666667,0.666666666666667,1.6,0.4,8,9,2.26,0.73,2,1
"3273","E0","20/01/18","Saturday","January","Burnley","Man United",0,1,"A",0,3,"A",0,0,"D","M Dean",13,12,2,2,7,12,5,4,3,3,0,0,"17/18",1516435200,0,1,0.6,2.6,0.333333333333333,0.666666666666667,1.2,1.2,6,13,1.06,1.81,1,2
"3274","E0","20/01/18","Saturday","January","Everton","West Brom",1,1,"D",1,1,"D",0,1,"A","S Attwell",9,15,4,5,15,10,0,3,2,1,0,0,"17/18",1516435200,0,0,1.8,0.6,1,0.333333333333333,0.6,1.4,10,2,1.48,1.09,1,1
"3276","E0","20/01/18","Saturday","January","Man City","Newcastle",3,1,"H",3,0,"H",1,0,"H","P Tierney",21,6,9,4,5,10,18,0,0,1,0,0,"17/18",1516435200,1,0,3,1.4,5,0.333333333333333,0.8,1.6,15,7,2.26,0.73,3,1
"3279","E0","21/01/18","Monday","January","Southampton","Tottenham",1,1,"D",1,1,"D",1,1,"D","K Friend",10,17,4,2,8,15,2,9,2,3,0,0,"17/18",1516521600,0,1,1.6,1.6,1,2.66666666666667,1.8,1.4,5,7,1.06,1.81,1,2
"3280","E0","22/01/18","Tuesday","January","Swansea","Liverpool",1,0,"H",3,0,"H",1,0,"H","N Swarbrick",3,21,2,4,5,9,3,9,0,2,0,0,"17/18",1516608000,0,1,0.4,3.4,1.33333333333333,1.33333333333333,1.4,1,5,13,1.06,1.81,1,2
"3282","E0","30/01/18","Saturday","January","Swansea","Arsenal",3,1,"H",3,0,"H",1,1,"D","L Mason",12,9,4,4,4,8,4,3,0,3,0,0,"17/18",1517299200,0,1,0.6,1.2,0.666666666666667,2.66666666666667,1.4,1.2,7,6,1.06,1.81,1,2
"3283","E0","30/01/18","Saturday","January","West Ham","Crystal Palace",1,1,"D",1,1,"D",1,1,"D","N Swarbrick",8,9,3,3,11,15,5,3,1,3,0,0,"17/18",1517299200,0,0,1.2,1.4,2,1.66666666666667,1,1.2,8,8,1.48,1.09,1,1
"3285","E0","31/01/18","Sunday","January","Everton","Leicester",2,1,"H",3,0,"H",2,0,"H","C Kavanagh",9,8,4,1,9,10,5,5,0,2,0,0,"17/18",1517385600,0,0,1.2,1.8,2.66666666666667,2.33333333333333,0.8,1.4,8,7,1.48,1.09,2,1
"3286","E0","31/01/18","Sunday","January","Man City","West Brom",3,0,"H",3,0,"H",1,0,"H","R Madley",19,3,10,1,10,10,9,1,1,3,0,0,"17/18",1517385600,1,0,3.2,0.6,2.66666666666667,0.666666666666667,0.8,1.4,15,2,2.26,0.73,3,1
"3290","E0","31/01/18","Sunday","January","Tottenham","Man United",2,0,"H",3,0,"H",2,0,"H","A Marriner",22,6,6,3,10,13,6,3,2,2,0,0,"17/18",1517385600,1,1,3.4,2,1.66666666666667,0.333333333333333,0.8,0.8,13,13,1.7,1.18,2,1
"3291","E0","03/02/18","Tuesday","February","Arsenal","Everton",5,1,"H",3,0,"H",4,0,"H","N Swarbrick",15,11,7,2,8,8,4,6,2,0,0,0,"17/18",1517644800,1,0,2.2,0.6,2.33333333333333,0.666666666666667,1.8,1.4,8,5,2.26,0.73,2,1
"3294","E0","03/02/18","Tuesday","February","Burnley","Man City",1,1,"D",1,1,"D",0,1,"A","M Atkinson",8,20,3,7,9,6,3,13,4,1,0,0,"17/18",1517644800,0,1,0.6,2,1,2.66666666666667,1.2,1,6,10,1.06,1.81,1,2
"3295","E0","03/02/18","Tuesday","February","Leicester","Swansea",1,1,"D",1,1,"D",1,0,"H","A Taylor",13,3,5,1,9,8,3,3,1,0,0,0,"17/18",1517644800,0,0,1.6,1,2.66666666666667,0.333333333333333,1,2.4,10,4,1.48,1.09,1,1
"3297","E0","03/02/18","Tuesday","February","West Brom","Southampton",2,3,"A",0,3,"A",1,2,"A","M Oliver",9,13,3,5,12,10,5,7,2,1,0,0,"17/18",1517644800,0,0,0.8,1,0.333333333333333,0.333333333333333,0.6,1.8,6,3,1.48,1.09,1,1
"3298","E0","04/02/18","Wednesday","February","Crystal Palace","Newcastle",1,1,"D",1,1,"D",0,1,"A","A Marriner",21,11,6,8,11,8,5,6,1,1,0,0,"17/18",1517731200,0,0,1.4,1.2,2,1.66666666666667,1.2,1.8,8,6,1.48,1.09,1,1
"3299","E0","04/02/18","Wednesday","February","Liverpool","Tottenham",2,2,"D",1,1,"D",1,0,"H","J Moss",9,13,3,6,15,9,3,7,3,1,0,0,"17/18",1517731200,1,1,2.4,1.6,2,1,1,1.2,11,8,1.7,1.18,2,1
